player_id,team,disposals_avg_last3,disposals_avg_last5,disposals_avg_last10,goals_avg_last3,goals_avg_last5,goals_avg_last10,fantasy_avg_last3,fantasy_avg_last5,fantasy_avg_last10,games_played_prior,home_away,win_rate_last5,ladder_rank_pre,rest_days
45316,Western Bulldogs,17.333333333333332,18.2,17.11111111111111,1.0,1.0,1.0,75.33333333333333,79.2,70.4,324,A,0.8,1.0,6.0
45777,Collingwood Magpies,20.0,17.4,18.1,1.0,1.0,1.0,80.66666666666667,69.4,66.8,245,A,0.8,1.0,8.0
44714,Richmond Tigers,8.333333333333334,8.8,12.0,0.3333333333333333,0.4,0.4,47.333333333333336,46.8,59.0,110,A,0.0,8.0,7.0
46242,North Melbourne Kangaroos,10.0,10.0,10.0,,,,58.0,58.0,58.0,1,A,0.6,4.0,8.0
44626,North Melbourne Kangaroos,10.0,10.0,10.0,0.0,0.0,0.0,58.0,58.0,58.0,1,A,0.6,4.0,8.0
44621,Sydney Swans,10.666666666666666,12.0,11.0,0.0,0.4,0.3333333333333333,41.666666666666664,48.8,44.333333333333336,6,A,0.4,2.0,8.0
45880,Richmond Tigers,12.333333333333334,11.4,12.1,,1.0,1.0,57.666666666666664,52.8,59.9,196,H,0.2,2.0,6.0
43287,Carlton Blues,13.0,13.5,13.11111111111111,0.0,0.0,0.0,62.666666666666664,58.6,53.6,16,H,0.6,3.0,6.0
45501,Adelaide Crows,18.0,21.0,22.3,,,,77.33333333333333,88.2,89.7,320,H,0.4,8.0,7.0
43459,Carlton Blues,6.333333333333333,7.6,9.4,0.3333333333333333,0.2,0.2,56.666666666666664,57.6,58.7,22,A,0.8,1.0,6.0
43342,Collingwood Magpies,11.0,10.8,12.833333333333334,0.3333333333333333,0.2,0.16666666666666666,64.0,60.4,70.66666666666667,6,A,0.6,1.0,8.0
43310,Essendon Bombers,11.333333333333334,11.8,13.3,0.0,0.2,0.3,57.0,53.4,60.2,16,A,0.6,2.0,6.0
44566,Hawthorn Hawks,9.0,11.4,13.1,1.3333333333333333,1.2,0.6,40.0,48.2,51.8,12,H,1.0,2.0,14.0
46298,Essendon Bombers,,,,,,,,,,0,A,0.4,3.0,15.0
44954,Essendon Bombers,,,,,,,,,,0,A,0.4,3.0,15.0
44711,Sydney Swans,11.333333333333334,9.6,11.1,1.3333333333333333,0.8,0.8,57.333333333333336,50.0,55.6,67,A,0.4,3.0,8.0
45733,Adelaide Crows,13.0,15.75,18.444444444444443,1.5,1.5,1.5,55.666666666666664,69.0,68.4,339,H,0.8,2.0,6.0
45549,Adelaide Crows,29.333333333333332,27.6,25.5,1.0,1.0,1.0,112.33333333333333,106.6,96.1,274,H,0.8,2.0,6.0
43992,Port Adelaide Power,4.333333333333333,6.4,7.0,0.3333333333333333,0.2,0.3,50.333333333333336,46.6,47.6,49,A,0.0,5.0,8.0
45409,Port Adelaide Power,6.666666666666667,9.2,10.222222222222221,1.0,1.0,1.5,46.0,59.2,54.8,206,H,0.0,6.0,8.0
43562,Brisbane Lions,10.666666666666666,11.8,12.7,0.6666666666666666,0.6,0.7,54.0,57.0,58.1,105,H,0.0,8.0,7.0
45513,Brisbane Lions,2.3333333333333335,2.0,2.7142857142857144,2.0,1.8,2.7,44.666666666666664,42.8,48.1,203,H,0.0,8.0,7.0
44156,Carlton Blues,14.666666666666666,15.8,14.4,0.0,0.0,0.1,68.66666666666667,68.4,65.9,45,A,0.4,4.0,7.0
43819,Carlton Blues,12.666666666666666,12.8,12.7,1.3333333333333333,0.8,1.3,66.0,65.6,64.6,98,A,0.4,4.0,7.0
44318,North Melbourne Kangaroos,12.0,13.2,13.8,0.0,0.0,0.1,59.666666666666664,59.2,55.3,41,A,0.4,3.0,8.0
44971,North Melbourne Kangaroos,10.333333333333334,11.8,10.7,0.0,0.4,0.2,49.0,57.8,51.9,10,A,0.4,3.0,8.0
44540,Hawthorn Hawks,14.333333333333334,14.0,16.11111111111111,0.6666666666666666,0.6,1.0,63.666666666666664,58.4,69.1,13,A,0.4,4.0,7.0
44173,West Coast Eagles,15.333333333333334,15.2,14.6,0.0,0.0,0.0,60.666666666666664,57.2,54.5,101,H,0.2,8.0,6.0
45069,Hawthorn Hawks,8.0,9.4,9.2,0.3333333333333333,0.2,0.1,61.666666666666664,64.8,58.4,84,A,0.4,4.0,7.0
44465,Collingwood Magpies,11.0,9.8,9.666666666666666,1.0,1.4,1.2,57.333333333333336,58.2,57.0,167,A,1.0,1.0,6.0
45816,Collingwood Magpies,4.333333333333333,4.4,5.9,,,,14.333333333333334,19.0,24.0,232,A,1.0,1.0,6.0
45681,Collingwood Magpies,15.333333333333334,13.75,15.333333333333334,1.0,1.5,1.5,71.33333333333333,77.8,78.4,226,A,1.0,1.0,6.0
44043,Richmond Tigers,7.0,7.0,7.0,0.5,0.5,0.5,40.5,40.5,40.5,2,A,0.4,7.0,6.0
46133,Richmond Tigers,7.0,7.0,7.0,1.0,1.0,1.0,40.5,40.5,40.5,2,A,0.4,7.0,6.0
45629,Brisbane Lions,19.0,19.8,22.7,,,,74.0,75.4,86.8,208,H,0.2,6.0,8.0
46131,St Kilda Saints,8.0,8.0,8.0,,,,37.5,37.5,37.5,2,H,0.4,2.0,6.0
45303,Adelaide Crows,10.0,10.0,10.0,0.0,0.0,0.0,36.0,36.0,36.0,1,A,0.4,7.0,6.0
44835,Fremantle Dockers,5.0,5.5,5.5,0.6666666666666666,0.5,0.5,27.0,32.0,32.0,4,A,0.4,4.0,7.0
46374,Adelaide Crows,10.0,10.0,10.0,,,,36.0,36.0,36.0,1,A,0.4,7.0,6.0
44038,St Kilda Saints,8.0,8.0,8.0,0.0,0.0,0.0,37.5,37.5,37.5,2,H,0.4,2.0,6.0
44560,Fremantle Dockers,4.0,5.4,5.8,1.0,1.2,1.1,26.666666666666668,37.4,36.1,47,A,0.4,4.0,7.0
44661,St Kilda Saints,13.333333333333334,12.6,11.9,0.0,0.0,0.2,62.666666666666664,57.0,56.1,65,H,0.4,2.0,6.0
43733,Fremantle Dockers,15.0,13.25,17.555555555555557,0.0,0.0,0.0,47.0,43.6,63.3,100,A,0.4,4.0,7.0
44894,Brisbane Lions,12.0,11.8,11.2,0.0,0.0,0.1,56.0,55.4,49.8,74,A,0.2,5.0,7.0
44583,Essendon Bombers,10.0,9.4,8.8,1.0,1.2,1.2,44.333333333333336,46.6,45.7,27,H,0.4,4.0,9.0
45225,North Melbourne Kangaroos,11.0,11.0,11.0,0.0,0.0,0.0,57.0,57.0,57.0,1,A,0.4,1.0,7.0
44741,Essendon Bombers,11.0,12.2,11.5,0.3333333333333333,0.4,0.2857142857142857,41.666666666666664,50.8,49.142857142857146,7,H,0.4,4.0,9.0
46351,North Melbourne Kangaroos,11.0,11.0,11.0,,,,57.0,57.0,57.0,1,A,0.4,1.0,7.0
45579,Fremantle Dockers,16.666666666666668,15.6,15.2,2.3333333333333335,1.8,1.5555555555555556,79.0,75.6,70.7,207,H,0.2,1.0,6.0
44680,Hawthorn Hawks,13.333333333333334,11.6,12.125,1.0,0.6,0.9,75.66666666666667,67.4,63.7,16,H,0.4,6.0,7.0
44493,St Kilda Saints,16.0,16.0,16.0,0.0,0.0,0.0,64.0,64.0,64.0,1,A,0.6,3.0,7.0
44363,Essendon Bombers,13.0,13.0,13.0,1.0,1.0,1.0,53.0,53.0,53.0,1,A,0.4,8.0,6.0
46216,St Kilda Saints,16.0,16.0,16.0,,,,64.0,64.0,64.0,1,A,0.6,3.0,7.0
44079,Hawthorn Hawks,10.5,9.25,8.333333333333334,1.3333333333333333,1.2,0.9,59.0,54.2,45.9,53,H,0.4,6.0,7.0
46197,Essendon Bombers,13.0,13.0,13.0,1.0,1.0,1.0,53.0,53.0,53.0,1,A,0.4,8.0,6.0
46255,Hawthorn Hawks,13.333333333333334,11.6,12.0,1.5,1.5,1.5,75.66666666666667,67.4,63.7,16,H,0.4,6.0,7.0
